,Project,HoleID,From,To,SG,Code,Lith,Geol
10749,UpperCanada,UC13_481,281.94,282.85,2.86,V4Ta,Trachytic tuff altered,Trachyte
10750,UpperCanada,UC13_481,282.85,283.77,2.86,V4Ta,Trachytic tuff altered,Trachyte
10751,UpperCanada,UC13_481,283.77,284.68,2.73,V4Ta,Trachytic tuff altered,Trachyte
10752,UpperCanada,UC13_481,318.52,319.43,2.81,V4Txl,Trachyte Tuff crystal,Trachyte
10753,UpperCanada,UC13_481,319.43,320.34,2.8,V4Txl,Trachyte Tuff crystal,Trachyte
10754,UpperCanada,UC13_481,320.34,321.26,2.8,V4Txl,Trachyte Tuff crystal,Trachyte
10755,UpperCanada,UC13_481,321.26,322.17,2.8,V4Txl,Trachyte Tuff crystal,Trachyte
10756,UpperCanada,UC13_481,322.17,323.09,2.76,V4Txl,Trachyte Tuff crystal,Trachyte
10757,UpperCanada,UC13_481,323.09,324.0,2.78,V4Txl,Trachyte Tuff crystal,Trachyte
10758,UpperCanada,UC13_481,314.86,315.77,2.82,V4Txl,Trachyte Tuff crystal,Trachyte
10759,UpperCanada,UC13_481,315.77,316.69,2.56,V4Txl,Trachyte Tuff crystal,Trachyte
10760,UpperCanada,UC13_481,316.69,317.6,2.79,V4Txl,Trachyte Tuff crystal,Trachyte
10761,UpperCanada,UC13_481,317.6,318.52,2.8,V4Txl,Trachyte Tuff crystal,Trachyte
10762,UpperCanada,UC13_481,309.37,310.29,2.83,V4Txl,Trachyte Tuff crystal,Trachyte
10763,UpperCanada,UC13_481,310.29,311.2,2.82,V4Txl,Trachyte Tuff crystal,Trachyte
10764,UpperCanada,UC13_481,311.2,312.12,2.83,V4Txl,Trachyte Tuff crystal,Trachyte
10765,UpperCanada,UC13_481,312.12,313.03,2.86,V4Txl,Trachyte Tuff crystal,Trachyte
10766,UpperCanada,UC13_481,313.03,313.94,2.83,V4Txl,Trachyte Tuff crystal,Trachyte
10767,UpperCanada,UC13_481,313.94,314.86,2.94,V4Txl,Trachyte Tuff crystal,Trachyte
10768,UpperCanada,UC13_481,303.89,304.8,2.82,V4Txl,Trachyte Tuff crystal,Trachyte
10769,UpperCanada,UC13_481,304.8,305.71,2.79,V4Txl,Trachyte Tuff crystal,Trachyte
10770,UpperCanada,UC13_481,305.71,306.63,2.82,V4Txl,Trachyte Tuff crystal,Trachyte
10771,UpperCanada,UC13_481,306.63,307.54,2.84,V4Txl,Trachyte Tuff crystal,Trachyte
10772,UpperCanada,UC13_481,307.54,308.46,2.84,V4Txl,Trachyte Tuff crystal,Trachyte
10773,UpperCanada,UC13_481,308.46,309.37,2.82,V4Txl,Trachyte Tuff crystal,Trachyte
10774,UpperCanada,UC13_481,298.4,299.31,2.82,V4Txl,Trachyte Tuff crystal,Trachyte
10775,UpperCanada,UC13_481,299.31,300.23,2.8,V4Txl,Trachyte Tuff crystal,Trachyte
10776,UpperCanada,UC13_481,300.23,301.14,2.81,V4Txl,Trachyte Tuff crystal,Trachyte
10777,UpperCanada,UC13_481,301.14,302.06,2.81,V4Txl,Trachyte Tuff crystal,Trachyte
10778,UpperCanada,UC13_481,302.06,302.97,2.81,V4Txl,Trachyte Tuff crystal,Trachyte
10779,UpperCanada,UC13_481,302.97,303.89,2.83,V4Txl,Trachyte Tuff crystal,Trachyte
10780,UpperCanada,UC13_481,293.83,294.74,2.78,V4Txl,Trachyte Tuff crystal,Trachyte
10781,UpperCanada,UC13_481,294.74,295.66,2.8,V4Txl,Trachyte Tuff crystal,Trachyte
10782,UpperCanada,UC13_481,295.66,296.57,2.78,V4Txl,Trachyte Tuff crystal,Trachyte
10783,UpperCanada,UC13_481,296.57,297.48,2.8,V4Txl,Trachyte Tuff crystal,Trachyte
10784,UpperCanada,UC13_481,297.48,298.4,2.78,V4Txl,Trachyte Tuff crystal,Trachyte
10785,UpperCanada,UC13_481,329.49,330.4,2.82,V4Txl,Trachyte Tuff crystal,Trachyte
10786,UpperCanada,UC13_481,330.4,331.32,2.79,V4Txl,Trachyte Tuff crystal,Trachyte
10787,UpperCanada,UC13_481,331.32,332.23,2.8,V4Txl,Trachyte Tuff crystal,Trachyte
10788,UpperCanada,UC13_481,332.23,333.15,2.79,V4Txl,Trachyte Tuff crystal,Trachyte
10789,UpperCanada,UC13_481,333.15,334.06,2.77,V4Txl,Trachyte Tuff crystal,Trachyte
10790,UpperCanada,UC13_481,334.06,334.98,2.73,V4Txl,Trachyte Tuff crystal,Trachyte
10791,UpperCanada,UC13_481,324.0,324.92,2.79,V4Txl,Trachyte Tuff crystal,Trachyte
10792,UpperCanada,UC13_481,324.92,325.83,2.76,V4Txl,Trachyte Tuff crystal,Trachyte
10793,UpperCanada,UC13_481,325.83,326.75,2.78,V4Txl,Trachyte Tuff crystal,Trachyte
10794,UpperCanada,UC13_481,326.75,327.66,2.76,V4Txl,Trachyte Tuff crystal,Trachyte
10795,UpperCanada,UC13_481,327.66,328.57,2.76,V4Txl,Trachyte Tuff crystal,Trachyte
10796,UpperCanada,UC13_481,328.57,329.49,2.85,V4Txl,Trachyte Tuff crystal,Trachyte
10797,UpperCanada,UC13_481,345.95,346.86,2.69,ALB,Albite,Albitite
10798,UpperCanada,UC13_484,290.47,291.39,2.81,V4,Trachyte,Trachyte
10799,UpperCanada,UC13_484,291.39,292.3,2.71,V4,Trachyte,Trachyte
10800,UpperCanada,UC13_484,292.3,293.22,2.82,V4,Trachyte,Trachyte
10801,UpperCanada,UC13_484,303.89,304.8,2.82,V4a,Trachyte Altered,Trachyte
10802,UpperCanada,UC13_484,304.8,305.41,2.84,V4a,Trachyte Altered,Trachyte
10803,UpperCanada,UC13_484,298.4,299.31,3.12,V4a,Trachyte Altered,Trachyte
10804,UpperCanada,UC13_484,299.31,300.23,2.87,V4a,Trachyte Altered,Trachyte
10805,UpperCanada,UC13_484,300.23,301.14,2.82,V4a,Trachyte Altered,Trachyte
10806,UpperCanada,UC13_484,301.14,302.06,2.78,V4a,Trachyte Altered,Trachyte
10807,UpperCanada,UC13_484,302.06,302.97,2.69,V4a,Trachyte Altered,Trachyte
10808,UpperCanada,UC13_484,302.97,303.89,2.92,V4a,Trachyte Altered,Trachyte
10809,UpperCanada,UC13_484,305.41,306.32,2.9,V4,Trachyte,Trachyte
10810,UpperCanada,UC13_484,306.32,307.24,2.75,V4,Trachyte,Trachyte
10811,UpperCanada,UC13_484,307.24,308.15,2.84,V4,Trachyte,Trachyte
10812,UpperCanada,UC13_484,308.15,309.07,2.8,V4,Trachyte,Trachyte
10813,UpperCanada,UC13_484,309.07,309.68,2.69,V4a,Trachyte Altered,Trachyte
10814,UpperCanada,UC13_484,309.68,310.59,2.4,V4,Trachyte,Trachyte
10815,UpperCanada,UC13_484,310.59,311.2,2.97,V4,Trachyte,Trachyte
10816,UpperCanada,UC13_484,319.43,320.34,2.88,V4a,Trachyte Altered,Trachyte
10817,UpperCanada,UC13_484,313.94,314.86,3.09,V4a,Trachyte Altered,Trachyte
10818,UpperCanada,UC13_484,314.86,315.77,2.84,V4a,Trachyte Altered,Trachyte
10819,UpperCanada,UC13_484,315.77,316.84,2.09,V4a,Trachyte Altered,Trachyte
10820,UpperCanada,UC13_484,316.84,317.6,2.82,V4a,Trachyte Altered,Trachyte
10821,UpperCanada,UC13_484,317.6,318.67,2.92,V4a,Trachyte Altered,Trachyte
10822,UpperCanada,UC13_484,318.67,319.43,2.86,V4a,Trachyte Altered,Trachyte
10823,UpperCanada,UC13_484,311.2,312.12,2.76,V4a,Trachyte Altered,Trachyte
10824,UpperCanada,UC13_484,312.12,313.03,3.08,V4a,Trachyte Altered,Trachyte
10825,UpperCanada,UC13_484,313.03,313.94,2.04,V4a,Trachyte Altered,Trachyte
10826,UpperCanada,UC13_484,336.19,337.11,2.75,V4,Trachyte,Trachyte
10827,UpperCanada,UC13_484,337.11,338.02,2.73,V4,Trachyte,Trachyte
10828,UpperCanada,UC13_484,338.02,338.94,2.82,V4,Trachyte,Trachyte
10829,UpperCanada,UC13_484,338.94,339.85,2.79,V4,Trachyte,Trachyte
10830,UpperCanada,UC13_484,339.85,340.52,2.82,V4,Trachyte,Trachyte
10831,UpperCanada,UC13_484,330.4,331.32,2.78,V4,Trachyte,Trachyte
10832,UpperCanada,UC13_484,331.32,332.23,2.77,V4,Trachyte,Trachyte
10833,UpperCanada,UC13_484,332.23,333.15,2.81,V4,Trachyte,Trachyte
